page,name,address,phone_number,link_url
https://www.apartments.com/colorado-springs-co-80902/10000-to-12000/,Village at Westmeadow,"1265 Capistrano Pt, Colorado Springs, CO 80906",tel:7197816068,https://www.apartments.com/village-at-westmeadow-colorado-springs-co/0ng5883/
https://www.apartments.com/millsboro-de-19966/5600-to-11988/,Riverside Apartments,"31556 Oak Orchard Rd, Millsboro, DE 19966",tel:3022914754,https://www.apartments.com/riverside-apartments-millsboro-de/73d063x/
https://www.apartments.com/colorado-springs-co-80902/10000-to-12000/,Village at Westmeadow,"1265 Capistrano Pt, Colorado Springs, CO 80906",tel:7197816068,https://www.apartments.com/village-at-westmeadow-colorado-springs-co/0ng5883/
https://www.apartments.com/alexandria-va-22301/3200-to-8388/,The Porter Del Ray,"625 E Monroe Ave, Alexandria, VA 22301",tel:5714759757,https://www.apartments.com/the-porter-del-ray-alexandria-va/x0nc82q/
https://www.apartments.com/alexandria-va-22302/3200-to-8388/,Park + Ford,"4401 Ford Ave, Alexandria, VA 22302",tel:2029327574,https://www.apartments.com/park-ford-alexandria-va/ke7zev8/
https://www.apartments.com/alexandria-va-22301/3200-to-8388/,Station 650,"650 Potomac Ave, Alexandria, VA 22301",tel:2406951799,https://www.apartments.com/station-650-alexandria-va/bxd843b/
https://www.apartments.com/alexandria-va-22301/3200-to-8388/,Platform,"1100 N Fayette St, Alexandria, VA 22314",tel:2406951834,https://www.apartments.com/platform-alexandria-va/7ckcmcz/
https://www.apartments.com/alexandria-va-22301/3200-to-8388/,The Frasier,"615 Swann Ave, Alexandria, VA 22301",tel:2404148495,https://www.apartments.com/the-frasier-alexandria-va/3g84hfg/
https://www.apartments.com/alexandria-va-22302/3200-to-8388/,Array at West Alex,"3445 Berkeley St, Alexandria, VA 22302",tel:2029315859,https://www.apartments.com/array-at-west-alex-alexandria-va/rm237m2/
https://www.apartments.com/alexandria-va-22302/3200-to-8388/,Arrive 2801,"2801 Park Center Dr, Alexandria, VA 22302",tel:2029373869,https://www.apartments.com/arrive-2801-alexandria-va/24k3c79/
https://www.apartments.com/alexandria-va-22302/3200-to-8388/,Bailey's Crossing,"3602 S 14th St, Alexandria, VA 22302",tel:5713215289,https://www.apartments.com/baileys-crossing-alexandria-va/27lq75c/
https://www.apartments.com/alexandria-va-22302/3200-to-8388/,Halstead Tower by Windsor,"4380 King St, Alexandria, VA 22302",tel:2029292838,https://www.apartments.com/halstead-tower-by-windsor-alexandria-va/1j3m065/
https://www.apartments.com/alexandria-va-22302/3200-to-8388/,IO Piazza by Windsor,"2727 S Quincy St, Arlington, VA 22206",tel:2028756675,https://www.apartments.com/io-piazza-by-windsor-arlington-va/9rfkgl6/
https://www.apartments.com/colorado-springs-co-80903/10000-to-12000/,The Plaza at Pikes Peak,"710 E Pikes Peak Ave, Colorado Springs, CO 80903",tel:7193094347,https://www.apartments.com/the-plaza-at-pikes-peak-colorado-springs-co/g98dhqw/
https://www.apartments.com/colorado-springs-co-80903/10000-to-12000/,VIM,"322 E Vermijo Ave, Colorado Springs, CO 80903",tel:7194284349,https://www.apartments.com/vim-colorado-springs-co/evcle5q/
https://www.apartments.com/colorado-springs-co-80903/10000-to-12000/,333 Eco Apartments,"333 E Colorado Ave, Colorado Springs, CO 80903",tel:7193093146,https://www.apartments.com/333-eco-apartments-colorado-springs-co/qsj9lsy/
https://www.apartments.com/colorado-springs-co-80903/10000-to-12000/,Mae on Cascade,"609 S Cascade Ave, Colorado Springs, CO 80903",tel:7196279353,https://www.apartments.com/mae-on-cascade-colorado-springs-co/td59y28/
https://www.apartments.com/colorado-springs-co-80903/10000-to-12000/,Casa Mundi,"418-422 S Tejon St, Colorado Springs, CO 80903",tel:7196665436,https://www.apartments.com/casa-mundi-colorado-springs-co/ke9vy4b/
https://www.apartments.com/colorado-springs-co-80903/10000-to-12000/,Blue Dot Place,"412 S Nevada Ave, Colorado Springs, CO 80903",tel:7192491057,https://www.apartments.com/blue-dot-place-colorado-springs-co/bsmjpj8/
https://www.apartments.com/colorado-springs-co-80903/10000-to-12000/,22 Spruce,"22 N Spruce St, Colorado Springs, CO 80905",tel:7196279846,https://www.apartments.com/22-spruce-colorado-springs-co/93kt6r6/
