page,name,address,phone_number,link_url
https://www.apartments.com/montgomery-al-36104/319-to-478/,The Heights,"605 Maxwell Blvd, Montgomery, AL 36104",(334) 403-4445,https://www.apartments.com/the-heights-montgomery-al/sms2857/
https://www.apartments.com/montgomery-al-36104/319-to-478/,79C Apartments,"79 Commerce St, Montgomery, AL 36104",(844) 765-2364,https://www.apartments.com/79c-apartments-montgomery-al/mx5h8qk/
https://www.apartments.com/montgomery-al-36104/319-to-478/,The Bell Lofts,"207 Montgomery St, Montgomery, AL 36104",(334) 654-9826,https://www.apartments.com/the-bell-lofts-montgomery-al/8bh4te0/
https://www.apartments.com/montgomery-al-36104/319-to-478/,The 40 Four Building,"44 First Alabama Plaza, Montgomery, AL 36104",(334) 245-1261,https://www.apartments.com/the-40-four-building-montgomery-al/jpk0tg6/
https://www.apartments.com/tampa-fl-33602/560-to-1198/,New River Apartments,"4009 N Howard Ave, Tampa, FL 33607",(813) 701-3734,https://www.apartments.com/new-river-apartments-tampa-fl/c6vq8qe/
https://www.apartments.com/montgomery-al-36104/319-to-478/,The Heights,"605 Maxwell Blvd, Montgomery, AL 36104",(334) 403-4445,https://www.apartments.com/the-heights-montgomery-al/sms2857/
https://www.apartments.com/montgomery-al-36104/319-to-478/,79C Apartments,"79 Commerce St, Montgomery, AL 36104",(844) 765-2364,https://www.apartments.com/79c-apartments-montgomery-al/mx5h8qk/
https://www.apartments.com/montgomery-al-36104/319-to-478/,The Bell Lofts,"207 Montgomery St, Montgomery, AL 36104",(334) 654-9826,https://www.apartments.com/the-bell-lofts-montgomery-al/8bh4te0/
https://www.apartments.com/montgomery-al-36104/319-to-478/,The 40 Four Building,"44 First Alabama Plaza, Montgomery, AL 36104",(334) 245-1261,https://www.apartments.com/the-40-four-building-montgomery-al/jpk0tg6/
https://www.apartments.com/aurora-co-80010/560-to-1198/,Fairways at Lowry,"9913 E 1st Ave, Aurora, CO 80010",(720) 577-4179,https://www.apartments.com/fairways-at-lowry-aurora-co/gqlmvky/
https://www.apartments.com/aurora-co-80010/560-to-1198/,The Stapleton Apartments,"2240 Dallas St, Aurora, CO 80010",(844) 805-8529,https://www.apartments.com/the-stapleton-apartments-aurora-co/0l1ldj3/
https://www.apartments.com/aurora-co-80010/560-to-1198/,Fitz on 14th,"13686 E 14th St, Aurora, CO 80011",(970) 279-3624,https://www.apartments.com/fitz-on-14th-aurora-co/xgsrxxq/
https://www.apartments.com/aurora-co-80010/560-to-1198/,Lumien at Fitzsimons,"1305 Peoria St, Aurora, CO 80011",(720) 282-4161,https://www.apartments.com/lumien-at-fitzsimons-aurora-co/z3b7mnw/
https://www.apartments.com/tampa-fl-33602/560-to-1198/,New River Apartments,"4009 N Howard Ave, Tampa, FL 33607",(813) 701-3734,https://www.apartments.com/new-river-apartments-tampa-fl/c6vq8qe/
https://www.apartments.com/aurora-co-80010/560-to-1198/,Fairways at Lowry,"9913 E 1st Ave, Aurora, CO 80010",(720) 577-4179,https://www.apartments.com/fairways-at-lowry-aurora-co/gqlmvky/
https://www.apartments.com/aurora-co-80010/560-to-1198/,The Stapleton Apartments,"2240 Dallas St, Aurora, CO 80010",(844) 805-8529,https://www.apartments.com/the-stapleton-apartments-aurora-co/0l1ldj3/
https://www.apartments.com/aurora-co-80010/560-to-1198/,Fitz on 14th,"13686 E 14th St, Aurora, CO 80011",(970) 279-3624,https://www.apartments.com/fitz-on-14th-aurora-co/xgsrxxq/
https://www.apartments.com/aurora-co-80010/560-to-1198/,Lumien at Fitzsimons,"1305 Peoria St, Aurora, CO 80011",(720) 282-4161,https://www.apartments.com/lumien-at-fitzsimons-aurora-co/z3b7mnw/
https://www.apartments.com/springfield-oh-45503/400-to-1000/,Northridge Apartments,"4887 Ridgewood Rd E, Springfield, OH 45503",(937) 342-3352,https://www.apartments.com/northridge-apartments-springfield-oh/eem0zgp/
https://www.apartments.com/springfield-oh-45503/400-to-1000/,Ashton Meadows,"3950 Cabot Dr, Springfield, OH 45503",(937) 215-3684,https://www.apartments.com/ashton-meadows-springfield-oh/7qbv2qw/
https://www.apartments.com/aurora-co-80011/560-to-1198/,Aurora Meadows,"777 Dillon Way, Aurora, CO 80011",(720) 577-6072,https://www.apartments.com/aurora-meadows-aurora-co/x51s1bm/
https://www.apartments.com/aurora-co-80011/560-to-1198/,Landon Park Apartments,"100 S Sable Blvd, Aurora, CO 80012",(970) 866-0264,https://www.apartments.com/landon-park-apartments-aurora-co/dfgknzh/
